rank,type,layer,feature_idx,bert_total,finbert_total,improvement,improvement_percentage,top_category,top_category_improvement
1,improving,11,16317,2.427256867289543,5.460217401385307,3.032960534095764,124.95424618932773,derivatives_options,0.39979279041290283
2,improving,11,7127,0.6835660319775343,3.666807174682617,2.983241142705083,436.42325093778254,market_movements,0.32337257266044617
3,improving,11,3290,2.0342922881245613,4.890079826116562,2.8557875379920006,140.38236002883096,investment_strategies,0.3160629868507385
4,improving,11,5655,1.5895279720425606,4.298828095197678,2.709300123155117,170.44683413963165,derivatives_options,0.33291828632354736
5,improving,11,18645,1.3828875813633204,4.080242618918419,2.6973550375550985,195.05237116893284,market_movements,0.3464590907096863
6,improving,11,6067,2.3314088732004166,5.028100967407227,2.69669209420681,115.66791709676232,currency_forex,0.2974037528038025
7,improving,11,23683,1.1743771247565746,3.8510392606258392,2.6766621358692646,227.92185377690313,interest_rates_monetary,0.3387695550918579
8,improving,11,12500,1.8340770155191422,4.509666264057159,2.6755892485380173,145.88205464166273,earnings_analysis,0.3224546015262604
9,improving,11,9259,0.6329637924209237,3.2919183671474457,2.658954574726522,420.0800368925845,earnings_analysis,0.34536129236221313
10,improving,10,8188,1.6106178611516953,4.244644969701767,2.6340271085500717,163.54140580015874,earnings_analysis,0.33469805121421814
1,decreasing,10,3541,8.870639383792877,4.656920716166496,-4.213718667626381,-47.50185956803609,,0.0
2,decreasing,10,5200,6.691799968481064,2.6818115189671516,-4.009988449513912,-59.92391378117847,,0.0
3,decreasing,10,11232,5.419596552848816,1.5135202258825302,-3.9060763269662857,-72.07319367169008,,0.0
4,decreasing,9,3541,9.222377717494965,5.497767925262451,-3.7246097922325134,-40.38665409602793,,0.0
5,decreasing,10,14604,7.84217643737793,4.308267787098885,-3.533908650279045,-45.062855624226934,,0.0
6,decreasing,10,7586,4.237267330288887,0.80224684253335,-3.435020487755537,-81.06688136230143,,0.0
7,decreasing,11,5200,5.241510063409805,1.8473813105374575,-3.394128752872348,-64.75478832122774,,0.0
8,decreasing,10,22434,5.121661692857742,1.7613984271883965,-3.360263265669346,-65.60884846795746,,0.0
9,decreasing,11,24048,4.966696321964264,1.6113919541239738,-3.35530436784029,-67.55606027786504,,0.0
10,decreasing,10,18771,4.469005525112152,1.1192147135734558,-3.3497908115386963,-74.95606763562962,,0.0
